Enrichment,Radius,Mass,keff
85,0.1,7.979645340118076e-05,0.8145273020454662
85,0.35151515151515156,0.0034658976800536908,0.8086033724673981
85,0.603030303030303,0.017498507134064933,0.8114302558324086
85,0.8545454545454546,0.049795385012596796,0.8140165218483848
85,1.1060606060606062,0.10797429151281111,0.8262754523630041
85,1.3575757575757577,0.1996529868318697,0.8201066214976376
85,1.6090909090909093,0.3324492311669346,0.8246617308969515
85,1.8606060606060608,0.5139807847151674,0.8311823491007069
85,2.1121212121212123,0.75186540767373,0.8403735448076796
85,2.3636363636363638,1.0537208602397843,0.8438759153373216
85,2.6151515151515152,1.4271649026104927,0.8438386162624322
85,2.8666666666666667,1.8798152949830158,0.8462129384403448
85,3.1181818181818186,2.419289797554517,0.8472259465930512
85,3.36969696969697,3.0532061705221576,0.8520514300696433
85,3.6212121212121215,3.7891821740830984,0.8555261234889675
85,3.872727272727273,4.634835568434502,0.8590967017859673
85,4.124242424242424,5.597784113773528,0.8706028874944429
85,4.375757575757576,6.685645570297345,0.8688972491803374
85,4.627272727272727,7.906037698203107,0.8834970793507987
85,4.878787878787879,9.266578257687982,0.8891258445572272
85,5.13030303030303,10.774885008949125,0.901047130815539
85,5.381818181818182,12.43857571218371,0.9294725145541508
85,5.633333333333333,14.265268127588879,0.9453388057365557
85,5.884848484848485,16.262580015361813,0.9584290450384894
85,6.136363636363637,18.438129135699672,0.9772409723535399
85,6.387878787878788,20.7995332487996,0.9945286799790077
85,6.63939393939394,23.354410114858783,1.0173136370807017
85,6.890909090909091,26.11037749407436,1.0340337951514809
85,7.142424242424243,29.075053146643516,1.0525487222973484
85,7.393939393939394,32.25605483276339,1.0682779426795708
85,7.6454545454545455,35.66100031263117,1.0884354659881315
85,7.8969696969696965,39.29750734644398,1.1044890109188723
85,8.148484848484848,43.173193694399025,1.1157011071752947
85,8.4,47.29567711669344,1.1348942499454298
85,8.651515151515152,51.6725753735244,1.1468240083536223
85,8.903030303030302,56.311506225089026,1.1658493528685232
85,9.154545454545454,61.22008743158455,1.173235013916759
85,9.406060606060606,66.40593675320808,1.1879187258178203
85,9.657575757575758,71.87667195015682,1.2010505650490229
85,9.909090909090908,77.63991078262787,1.2184867870754201
85,10.16060606060606,83.70327101081844,1.2216672959409982
85,10.412121212121212,90.07437039492571,1.2377273736488321
85,10.663636363636364,96.76082669514678,1.2488007342699563
85,10.915151515151516,103.77025767167888,1.2599845449593292
85,11.166666666666666,111.11028108471908,1.2676686894231042
85,11.418181818181818,118.78851469446462,1.2741703308997678
85,11.66969696969697,126.81257626111268,1.287552203201478
85,11.921212121212122,135.19008354486039,1.2937056224169958
85,12.172727272727274,143.92865430590487,1.3029699773242784
85,12.424242424242424,153.03590630444327,1.3082438911922825
85,12.675757575757576,162.51945730067285,1.3190137935688875
85,12.927272727272728,172.38692505479074,1.3288522644674121
85,13.17878787878788,182.64592732699407,1.336160813014336
85,13.43030303030303,193.30408187747997,1.3414350161338173
85,13.681818181818182,204.36900646644565,1.3499367639485675
85,13.933333333333334,215.84831885408835,1.3544412166367519
85,14.184848484848485,227.7496368006051,1.3615542425344886
85,14.436363636363637,240.0805780661931,1.3678583323725848
85,14.687878787878788,252.84876041104945,1.3709769729842278
85,14.93939393939394,266.06180159537143,1.378968251384047
85,15.190909090909091,279.72731937935623,1.3836226018488675
85,15.442424242424243,293.85293152320094,1.3960036617587193
85,15.693939393939393,308.4462557871026,1.3978125724766222
85,15.945454545454545,323.5149099312586,1.404285545329398
85,16.1969696969697,339.06651171586606,1.4025795696648764
85,16.44848484848485,355.10867890112183,1.4121938335379198
85,16.700000000000003,371.6490292472236,1.419109563159793
85,16.951515151515153,388.69518051436813,1.4219134935570157
85,17.203030303030307,406.2547504627528,1.425167399667531
85,17.454545454545457,424.3353568525744,1.4328418068738142
85,17.706060606060607,442.94461744403054,1.4393964489031426
85,17.95757575757576,462.09014999731835,1.4396979504998084
85,18.20909090909091,481.7795722726346,1.4441783340901393
85,18.460606060606064,502.0205020301769,1.450531919750334
85,18.712121212121215,522.820557030142,1.4522763864615011
85,18.963636363636365,544.1873550327274,1.457864988550552
85,19.21515151515152,566.1285137981301,1.4582096441953107
85,19.46666666666667,588.6516510865473,1.4641916418321292
85,19.71818181818182,611.7643846581759,1.4680698652855666
85,19.969696969696972,635.4743322732139,1.4739965982308316
85,20.221212121212123,659.7891116918574,1.4769426391213392
85,20.472727272727276,684.7163406743045,1.4838777457153745
85,20.724242424242426,710.2636369807516,1.4816428745955563
85,20.975757575757576,736.4386183713959,1.488987631421119
85,21.22727272727273,763.2489026064353,1.4882574887562396
85,21.47878787878788,790.7021074460662,1.4925549999999994
85,21.730303030303034,818.8058506504864,1.49629254224614
85,21.981818181818184,847.5677499798924,1.5020431112330694
85,22.233333333333334,876.9954231944816,1.5007619012758677
85,22.484848484848488,907.0964880544517,1.5095595285906669
85,22.736363636363638,937.8785623199989,1.5142304086021505
85,22.987878787878792,969.3492637513215,1.514149799043061
85,23.239393939393942,1001.5162101086154,1.5142065340136046
85,23.490909090909092,1034.3870191520782,1.5152828254830917
85,23.742424242424246,1067.969308641908,1.5234715111423516
85,23.993939393939396,1102.270696338301,1.5242491240541145
85,24.24545454545455,1137.2988000014545,1.5285680986177559
85,24.4969696969697,1173.0612373915656,1.528755301175015
85,24.74848484848485,1209.5656262688312,1.5300062936560166
85,25.0,1246.819584393449,1.5343196066863625
