log10(E (MeV)),log10(sigma (barn))
-4.908572445,1.302586732
-4.907887657,1.391292106
-4.907630571,1.418920416
-4.907335259,1.446285107
-4.907126488,1.462683685
-4.906899668,1.477670984
-4.906672963,1.489692677
-4.906467115,1.498064536
-4.90628216,1.503558212
-4.906038798,1.507940403
-4.905812545,1.509228055
-4.90558641,1.507977026
-4.905360392,1.50435857
-4.905134457,1.498566629
-4.90483345,1.487833991
-4.904532619,1.474166055
-4.904081793,1.449434458
-4.903181546,1.391933736
-4.902732088,1.362658513
-4.902283126,1.334793554
-4.901984091,1.317404922
-4.901685224,1.301127397
-4.901264729,1.280187147
-4.900899398,1.263838495
-4.90053434,1.249113692
-4.90016478,1.235696375
-4.899669315,1.21976321
-4.899174415,1.205833878
-4.898680047,1.193548969
-4.897939577,1.177574618
-4.897200368,1.163899019
-4.896462419,1.152019427
-4.895480451,1.138463878
-4.894500664,1.127268535
-4.893523086,1.118482745
-4.892547734,1.112213994
-4.891283003,1.107346887
-4.888861143,1.101027625
-4.886933354,1.092450231
-4.883167023,1.071984938
-4.881209398,1.062890468
-4.879816484,1.057965367
-4.878081619,1.05446861
-4.875244335,1.051886843
-4.873780908,1.048698497
-4.871390873,1.039574759
-4.868224473,1.025745714
-4.866537649,1.020821772
-4.865164912,1.019393195
-4.86340631,1.020694501
-4.858357794,1.028061797
-4.856488782,1.03297113
-4.855047296,1.039333638
-4.852036614,1.055495376
-4.850554226,1.060760261
-4.849113896,1.062682067
-4.848959624,1.062707366
-4.847420058,1.061370325
-4.845579758,1.056938451
-4.843198916,1.048147254
-4.841376379,1.039862619
-4.840407466,1.036842717
-4.840105131,1.036614485
-4.839501063,1.037806121
-4.838897864,1.041685419
-4.838355674,1.04751707
-4.836706385,1.070666971
-4.836109893,1.076453071
-4.835588557,1.078980085
-4.835328109,1.079330581
-4.834677656,1.077895026
-4.833768689,1.072208047
-4.831966767,1.058809773
-4.830357578,1.0499766
-4.828303211,1.0417027
-4.820954448,1.016917192
-4.818828583,1.006869684
-4.816416365,0.992703882
-4.815527563,0.989683855
-4.815363169,0.989559979
-4.814870354,0.990364654
-4.814378099,0.993281841
-4.813975018,0.997438942
-4.813521086,1.003993852
-4.812873419,1.016060098
-4.811710036,1.039526783
-4.8112262,1.047302872
-4.810871745,1.051617335
-4.8103567,1.055554002
-4.809874369,1.05679554
-4.809392601,1.056005923
-4.80875103,1.052647394
-4.805875752,1.029371845
-4.803652508,1.014281191
-4.800810679,0.994698434
-4.799490415,0.982846789
-4.797651456,0.96215166
-4.79709281,0.957340931
-4.796744045,0.956041775
-4.796395532,0.956822214
-4.796047299,0.960323007
-4.79578632,0.965042305
-4.795525474,0.971684802
-4.795351697,0.977179757
-4.795004299,0.990540147
-4.794639832,1.007336497
-4.794067696,1.036610054
-4.793461765,1.066163174
-4.793159091,1.078584188
-4.792822078,1.089756331
-4.792476697,1.09793374
-4.792131591,1.102713883
-4.791786759,1.104297544
-4.791442254,1.103097984
-4.791097969,1.09966369
-4.790582026,1.091642095
-4.789225705,1.065714463
-4.78847092,1.053106268
-4.787597047,1.041153836
-4.786536396,1.029331781
-4.784179654,1.006975729
-4.782561693,0.993027978
-4.781754992,0.988475345
-4.781352202,0.987599194
-4.780798946,0.98854995
-4.780346836,0.991482411
-4.779865107,0.996793653
-4.779263657,1.006098341
-4.777923497,1.030447591
-4.777264909,1.039970096
-4.776786585,1.044771858
-4.776189381,1.048118837
-4.775592999,1.048874717
-4.774799127,1.04700786
-4.771244553,1.02881517
-4.768484352,1.017332899
-4.76358043,1.000941528
-4.756561972,0.977121576
-4.753561732,0.963693075
-4.751697045,0.952701266
-4.749899839,0.938978794
-4.748113011,0.923042994
-4.747444825,0.918499834
-4.746999935,0.916995978
-4.746777663,0.91691453
-4.746333458,0.918439472
-4.745845366,0.923133773
-4.74534676,0.931395977
-4.744959357,0.940009329
-4.744254029,0.958946076
-4.743413098,0.982111374
-4.742884235,0.994201369
-4.742415291,1.002271058
-4.741959473,1.007469578
-4.741489011,1.010200787
-4.741170437,1.010700307
-4.740646256,1.009585073
-4.739829566,1.004491575
-4.736505059,0.973590639
-4.734522482,0.956620505
-4.730346785,0.92015073
-4.728273873,0.898372613
-4.726740403,0.879171487
-4.724919053,0.851941061
-4.723280529,0.825746041
-4.721914128,0.806338123
-4.720981364,0.794945383
-4.72051841,0.791715275
-4.72038233,0.791510509
-4.720137521,0.792477559
-4.719865643,0.796306181
-4.719661867,0.801741957
-4.719458189,0.809975832
-4.719256383,0.821450771
-4.719124299,0.831004866
-4.718960682,0.845315257
-4.718863115,0.855232499
-4.718732493,0.870195839
-4.718601913,0.88712698
-4.718471372,0.906035566
-4.718340868,0.926890166
-4.718210405,0.949619878
-4.718079979,0.974112354
-4.717949595,1.000220869
-4.717819248,1.027766453
-4.717688898,1.056547707
-4.717558632,1.086343206
-4.717428401,1.116923124
-4.717298213,1.148052313
-4.717168061,1.17949977
-4.71703795,1.211038562
-4.716907876,1.242454685
-4.716777843,1.273545918
-4.716582844,1.319172771
-4.716387975,1.363094165
-4.716102277,1.423453384
-4.715550893,1.522676343
-4.715324057,1.555877758
-4.715129752,1.580527819
-4.714935492,1.601591385
-4.714756865,1.617782709
-4.714547274,1.632908825
-4.714353272,1.643230814
-4.714149709,1.650352971
-4.713952669,1.653748884
-4.713823518,1.654181231
-4.713629841,1.652293801
-4.71343629,1.647539337
-4.713242786,1.640139014
-4.713049367,1.630337315
-4.712791637,1.613991612
-4.71253406,1.594518268
-4.711633745,1.511874181
-4.711366285,1.485877971
-4.711076842,1.458314856
-4.710775932,1.430913457
-4.710475229,1.405260791
-4.710174736,1.381610796
-4.709919472,1.363141804
-4.709596144,1.341826202
-4.709259528,1.321917479
-4.708944914,1.305161034
-4.708495833,1.28384064
-4.708047261,1.265008304
-4.707599109,1.248156049
-4.707151419,1.232937743
-4.70655526,1.214806773
-4.706078875,1.201857724
-4.705484144,1.187363924
-4.704890265,1.174487376
-4.70394539,1.1566641
-4.703002568,1.141395115
-4.702375167,1.132303149
-4.701016871,1.114799404
-4.699662809,1.09947805
-4.698115698,1.084033124
-4.696997878,1.075234558
-4.696009774,1.070355321
-4.69403275,1.064578976
-4.693078083,1.058731404
-4.692037455,1.048795349
-4.688867077,1.011295783
-4.688007034,1.002416627
-4.687368248,0.998348892
-4.686969488,0.997601643
-4.686411847,0.999192243
-4.684997045,1.009778405
-4.684560828,1.010867943
-4.684093349,1.009054453
-4.683736494,1.005344372
-4.683331665,0.998770729
-4.682785734,0.986491098
-4.682240489,0.971291763
-4.681021204,0.932687967
-4.680628942,0.921688504
-4.680367643,0.916140248
-4.680106462,0.91301619
-4.680006062,0.912685128
-4.679805331,0.913853626
-4.679604694,0.917931455
-4.679454276,0.92322334
-4.679303911,0.930648332
-4.679153597,0.940354092
-4.679003336,0.952424129
-4.678853085,0.966866236
-4.678702928,0.983604008
-4.678552822,1.002477259
-4.678422796,1.020378687
-4.678262758,1.044076763
-4.678102817,1.069213885
-4.677922929,1.0986385
-4.677723159,1.131958878
-4.677523481,1.165068732
-4.676842093,1.266296648
-4.676596911,1.295281097
-4.676379112,1.316875127
-4.676160557,1.334400688
-4.675980687,1.345662328
-4.675847933,1.352151557
-4.67567675,1.358289319
-4.675505593,1.361998506
-4.675334544,1.363407964
-4.675163522,1.36267515
-4.67499257,1.359982094
-4.674736323,1.352712671
-4.674480191,1.342229555
-4.674138927,1.324592813
-4.673457163,1.283337961
-4.673082674,1.260618946
-4.672751006,1.241813524
-4.672419591,1.224732839
-4.672101161,1.210079472
-4.671782963,1.19711977
-4.671306063,1.180522612
-4.670935561,1.169603084
-4.670512458,1.158833627
-4.669878617,1.145319807
-4.669203542,1.133475676
-4.668445307,1.122410071
-4.667436419,1.110269494
-4.66606784,1.096989881
-4.664703599,1.086172973
-4.663065298,1.075267938
-4.660660023,1.061819175
-4.656960033,1.044225214
-4.65081224,1.0157628
-4.648472705,1.002365619
-4.646558155,0.988360447
-4.645495592,0.978328727
-4.644638632,0.968259299
-4.643660017,0.953840939
-4.642604512,0.936658483
-4.642253258,0.93237624
-4.641858455,0.930139359
-4.641814592,0.930121607
-4.641551603,0.931208359
-4.641288775,0.934592168
-4.641026104,0.940490835
-4.640763593,0.948900686
-4.640448789,0.961919226
-4.640116744,0.97813704
-4.639313857,1.018504939
-4.638973984,1.032063976
-4.63865175,1.041407293
-4.638390671,1.046160476
-4.638086294,1.048483599
-4.638042808,1.048542635
-4.637782092,1.047566351
-4.637434717,1.043107994
-4.637087619,1.035787433
-4.63656749,1.021207125
-4.634406934,0.944394472
-4.633984211,0.929679373
-4.63366744,0.9208857
-4.633466824,0.917135598
-4.633276766,0.915437986
-4.633181787,0.915413027
-4.632991855,0.917283842
-4.632801971,0.922024469
-4.632652875,0.927935963
-4.632503795,0.935831002
-4.632350964,0.945956818
-4.632190551,0.958662102
-4.63203783,0.97251081
-4.63180883,0.995807781
-4.631579988,1.021022539
-4.630840792,1.099935516
-4.630574386,1.122360761
-4.630342728,1.137861073
-4.630163048,1.147126106
-4.629990014,1.153754364
-4.629817013,1.158200959
-4.629609552,1.160862759
-4.629540396,1.161157094
-4.629309994,1.160277484
-4.629079751,1.157055866
-4.628665561,1.147709397
-4.62811397,1.134288377
-4.627792519,1.12857195
-4.627471306,1.125255406
-4.627058648,1.124383212
-4.626692176,1.12595564
-4.625868763,1.13183377
-4.625411991,1.13368134
-4.625229412,1.133851009
-4.624636579,1.131964807
-4.623953525,1.125723069
-4.623044478,1.113186219
-4.619967822,1.061680763
-4.618473605,1.032855101
-4.617986834,1.025639939
-4.617662624,1.023017136
-4.617500609,1.022625512
-4.617176762,1.024046965
-4.616853156,1.02867095
-4.616529789,1.036427229
-4.616206665,1.046758744
-4.615206488,1.083740198
-4.614803848,1.095469068
-4.614498098,1.101832
-4.614207827,1.105685877
-4.613819727,1.107714984
-4.613335287,1.106199603
-4.612722464,1.100327286
-4.61130657,1.083398047
-4.610472093,1.075195588
-4.609447207,1.067087677
-4.607659504,1.056125241
-4.605625362,1.046327033
-4.602566707,1.034592284
-4.600330628,1.028166373
-4.598879204,1.025551828
-4.597809287,1.024916793
-4.596335446,1.026713441
-4.594988786,1.031674979
-4.593577396,1.040196136
-4.591514149,1.056666877
-4.590003307,1.067681751
-4.589099288,1.071749343
-4.58825726,1.07307299
-4.587356894,1.071663885
-4.586458361,1.067529879
-4.58529308,1.058784701
-4.583714458,1.042440163
-4.581277294,1.012465639
-4.580477679,1.004338057
-4.579958729,1.000966878
-4.579440398,0.999988491
-4.579002266,1.001552041
-4.57861433,1.004982632
-4.578123405,1.01199472
-4.577491233,1.024339715
-4.576382714,1.047287448
-4.575812422,1.055921548
-4.575318765,1.06066793
-4.574806717,1.063025978
-4.574636158,1.063311738
-4.573878971,1.062357522
-4.572745677,1.057195274
-4.568621449,1.032754668
-4.567746762,1.029412473
-4.567222795,1.028852558
-4.565515541,1.031008042
-4.564681799,1.029252374
-4.563815002,1.024149883
-4.562198385,1.01012858
-4.56108985,0.998194582
-4.559926008,0.98251021
-4.559055199,0.970465431
-4.558620418,0.966737692
-4.558403205,0.966155254
-4.558186101,0.966743647
-4.557896788,0.969714876
-4.557665459,0.974107791
-4.557376492,0.982207441
-4.55705886,0.994201325
-4.556712625,1.010067988
-4.555819394,1.053435264
-4.555546031,1.064343935
-4.555272869,1.073187527
-4.55499985,1.079760064
-4.554727002,1.084060466
-4.554368252,1.086550202
-4.554260704,1.086680307
-4.553825061,1.084896323
-4.553275768,1.079036964
-4.551777867,1.057672607
-4.550890947,1.046558724
-4.55018801,1.039351529
-4.549373703,1.033439237
-4.548743693,1.031654185
-4.548114566,1.033086483
-4.547188043,1.039824344
-4.546468825,1.045023525
-4.545870378,1.046755507
-4.54581396,1.046765646
-4.545086871,1.044852982
-4.543555854,1.036409857
-4.542168719,1.032098827
-4.540417993,1.027403514
-4.533323689,0.997261321
-4.531604836,0.986987664
-4.530296412,0.977611406
-4.529821602,0.976027417
-4.529702967,0.976026821
-4.529347283,0.977269873
-4.528991919,0.980575172
-4.528535819,0.987594189
-4.52759234,1.00514133
-4.527121367,1.010816985
-4.526729291,1.012661405
-4.526631326,1.012717039
-4.526141837,1.010981823
-4.525281663,1.003335611
-4.524306239,0.994146481
-4.523722051,0.989548902
-4.521841289,0.97739735
-4.519512183,0.962249782
-4.517922286,0.948708068
-4.516667719,0.936635519
-4.516008879,0.932802152
-4.515679846,0.932381214
-4.515055341,0.934449717
-4.514185835,0.939209845
-4.513890905,0.93964503
-4.51331804,0.93763297
-4.512688746,0.934268922
-4.512607112,0.934203839
-4.512321417,0.935529836
-4.512076686,0.939227478
-4.511870612,0.944591676
-4.511668701,0.951973144
-4.511466884,0.961362092
-4.511204677,0.976045591
-4.510781452,1.00286823
-4.510338494,1.029387552
-4.510066913,1.042263874
-4.509895986,1.048512846
-4.509695017,1.053839866
-4.509486751,1.057017449
-4.509284768,1.057915428
-4.509002319,1.055968013
-4.508705515,1.05070665
-4.508211301,1.037519961
-4.507540074,1.017494115
-4.507066885,1.004967433
-4.506476117,0.992074646
-4.505886177,0.981648162
-4.504963514,0.968216032
-4.501467399,0.922449072
-4.500534658,0.907090897
-4.499758899,0.891560203
-4.499177982,0.877457332
-4.498713813,0.864099018
-4.498172921,0.84558424
-4.497035368,0.797963378
-4.496746628,0.78743589
-4.496554251,0.782485022
-4.496361932,0.780168921
-4.496315488,0.780110847
-4.496176112,0.781333006
-4.496036804,0.784929031
-4.495897543,0.791219686
-4.495758326,0.800450991
-4.495619154,0.812760659
-4.495483784,0.827699521
-4.495348431,0.84543238
-4.49521009,0.866190956
-4.495065679,0.890277684
-4.494932787,0.914162948
-4.49479991,0.93919266
-4.494616696,0.974671196
-4.494391462,1.018115929
-4.493934933,1.097795106
-4.493700241,1.131248394
-4.493510937,1.153613854
-4.493349419,1.169242687
-4.493243304,1.177754285
-4.493068017,1.188794633
-4.492929703,1.194926296
-4.492791434,1.198886955
-4.492607109,1.201022678
-4.492422915,1.199915815
-4.492238746,1.196003511
-4.492052443,1.189671321
-4.491742631,1.175214054
-4.491125258,1.139443283
-4.490755278,1.117981962
-4.490385611,1.098518991
-4.490016258,1.081560406
-4.489647169,1.067012388
-4.489266177,1.054124562
-4.488860906,1.042294331
-4.488321201,1.028759609
-4.487586258,1.013118455
-4.486852607,0.999564488
-4.485876296,0.9833923
-4.484415934,0.960890123
-4.482282912,0.926459855
-4.481123845,0.904016109
-4.480400971,0.887289318
-4.47967935,0.867286602
-4.478958874,0.842839305
-4.478239642,0.815557029
-4.477940272,0.806378347
-4.477760798,0.803047962
-4.477641157,0.802267597
-4.477491652,0.803456979
-4.47737507,0.806444881
-4.477258567,0.811578491
-4.477142047,0.819145255
-4.477025557,0.829383676
-4.476918091,0.841349708
-4.476828531,0.853211395
-4.476738989,0.866783038
-4.476649517,0.882013158
-4.476560013,0.898810113
-4.476470527,0.917043294
-4.476381059,0.936550234
-4.47629161,0.957139127
-4.476172421,0.985909095
-4.476053218,1.015697669
-4.475928098,1.04748215
-4.475785128,1.083680816
-4.475588663,1.131783402
-4.475267358,1.202106575
-4.475088194,1.235025232
-4.474925324,1.260333031
-4.474780557,1.278879231
-4.474632676,1.29387461
-4.474522045,1.302464682
-4.47440349,1.309182699
-4.474284969,1.313378111
-4.474146783,1.315187196
-4.474003608,1.313725187
-4.473868225,1.309421081
-4.473713799,1.301344897
-4.473559478,1.290270558
-4.473405163,1.276632111
-4.473137865,1.248298473
-4.472660182,1.189736672
-4.472460062,1.164725089
-4.472254873,1.139952375
-4.47204978,1.116599476
-4.471844785,1.094973439
-4.471639886,1.075179955
-4.471435084,1.057168624
-4.47123038,1.040785196
-4.471015527,1.025104609
-4.47070366,1.004575168
-4.470383108,0.985515569
-4.470019472,0.96552864
-4.469534998,0.940272923
-4.467557611,0.827960532
-4.467332176,0.814342171
-4.467106908,0.802363106
-4.466914183,0.794690229
-4.466769733,0.791402544
-4.466673411,0.790779008
-4.466529041,0.792758513
-4.46643282,0.796344499
-4.466336572,0.801978889
-4.466229828,0.810830773
-4.466123062,0.822563278
-4.466016369,0.837238842
-4.465909655,0.854814021
-4.465802968,0.87513665
-4.465709813,0.894947712
-4.465623357,0.914836734
-4.465536919,0.935960066
-4.465421711,0.965643205
-4.465306485,0.996527476
-4.465191338,1.028028656
-4.465055145,1.065334342
-4.464922764,1.100856511
-4.464478068,1.206862156
-4.464317149,1.237843017
-4.46417163,1.261799444
-4.464025388,1.281778214
-4.463903685,1.295199234
-4.463777101,1.306053885
-4.463658457,1.313376021
-4.463551935,1.317645878
-4.463440623,1.319842693
-4.463382595,1.320097992
-4.463266561,1.318848468
-4.463150556,1.315363315
-4.463034584,1.309792785
-4.46286939,1.2985848
-4.462704258,1.284020882
-4.462478349,1.259721139
-4.461962131,1.193098401
-4.461747017,1.164035973
-4.461518154,1.134019049
-4.46134486,1.112450726
-4.461171634,1.092183338
-4.461021562,1.075791375
-4.460836928,1.057188764
-4.460652373,1.040343862
-4.460467897,1.025243462
-4.460283498,1.011863356
-4.460099178,1.000188443
-4.459891912,0.989097433
-4.459661731,0.97934675
-4.459431625,0.972346345
-4.459201688,0.968086813
-4.458959384,0.966419827
-4.458737606,0.96713684
-4.458454473,0.970419268
-4.45780432,0.980972245
-4.457492577,0.983683513
-4.45737573,0.983930322
-4.456999425,0.982085623
-4.456604055,0.979258521
-4.456574901,0.979241574
-4.456379021,0.98073419
-4.456228654,0.98454986
-4.456078338,0.991578553
-4.455951269,1.000570939
-4.455835878,1.01147334
-4.455720517,1.025137523
-4.455605141,1.041601531
-4.455489842,1.060777819
-4.455412961,1.074970756
-4.455297713,1.098153129
-4.455182495,1.123270604
-4.455067261,1.149890395
-4.454952105,1.177545878
-4.454836979,1.205766011
-4.454721884,1.234094602
-4.454528537,1.280787455
-4.454093128,1.374633747
-4.453881641,1.411734644
-4.453762701,1.429731243
-4.4536122,1.449421744
-4.453454221,1.466348202
-4.453330128,1.476980245
-4.453206071,1.485323126
-4.453055763,1.492483945
-4.452905506,1.496586088
-4.452755302,1.49785367
-4.452605151,1.496541805
-4.45245505,1.4929292
-4.45222995,1.483843676
-4.452005014,1.471268015
-4.451705279,1.450797898
-4.451153479,1.408439152
-4.45080858,1.38237237
-4.450484614,1.359634788
-4.450150567,1.338424478
-4.449830593,1.32027373
-4.449448454,1.301150669
-4.449059103,1.284122693
-4.448670101,1.269165229
