Enrichment,Radius,Mass,keff
85,0.1,7.979645340118076e-05,0.8405215691123504
85,0.35151515151515156,0.0034658976800536908,0.8431734277024413
85,0.603030303030303,0.017498507134064933,0.8449800853736753
85,0.8545454545454546,0.049795385012596796,0.8493256999538804
85,1.1060606060606062,0.10797429151281111,0.845701846276363
85,1.3575757575757577,0.1996529868318697,0.8498573845097506
85,1.6090909090909093,0.3324492311669346,0.8523130621924478
85,1.8606060606060608,0.5139807847151674,0.8618221929152896
85,2.1121212121212123,0.75186540767373,0.8590529486004097
85,2.3636363636363638,1.0537208602397843,0.8613471153663741
85,2.6151515151515152,1.4271649026104927,0.8555307902999889
85,2.8666666666666667,1.8798152949830158,0.8622788909898798
85,3.1181818181818186,2.419289797554517,0.8618463905818393
85,3.36969696969697,3.0532061705221576,0.8606233840769538
85,3.6212121212121215,3.7891821740830984,0.8652492836785118
85,3.872727272727273,4.634835568434502,0.8624232267731646
85,4.124242424242424,5.597784113773528,0.8730032599553789
85,4.375757575757576,6.685645570297345,0.871940732145723
85,4.627272727272727,7.906037698203107,0.8792164407102351
85,4.878787878787879,9.266578257687982,0.8957811913619551
85,5.13030303030303,10.774885008949125,0.9069196112187164
85,5.381818181818182,12.43857571218371,0.9195354063538954
85,5.633333333333333,14.265268127588879,0.9443703457753301
85,5.884848484848485,16.262580015361813,0.9581957483648188
85,6.136363636363637,18.438129135699672,0.9832269628734117
85,6.387878787878788,20.7995332487996,0.9976877959272882
85,6.63939393939394,23.354410114858783,1.0180833556443831
85,6.890909090909091,26.11037749407436,1.0353773072382744
85,7.142424242424243,29.075053146643516,1.0523437714780968
85,7.393939393939394,32.25605483276339,1.0745477971787618
85,7.6454545454545455,35.66100031263117,1.0892226949449837
85,7.8969696969696965,39.29750734644398,1.105932864119117
85,8.148484848484848,43.173193694399025,1.1226993075626959
85,8.4,47.29567711669344,1.1400545065355225
85,8.651515151515152,51.6725753735244,1.1497372442457983
85,8.903030303030302,56.311506225089026,1.1656414263622141
85,9.154545454545454,61.22008743158455,1.1768639048384575
85,9.406060606060606,66.40593675320808,1.1892736747778212
85,9.657575757575758,71.87667195015682,1.201994329963132
85,9.909090909090908,77.63991078262787,1.2161642921531064
85,10.16060606060606,83.70327101081844,1.2266518180905965
85,10.412121212121212,90.07437039492571,1.2384860684610286
85,10.663636363636364,96.76082669514678,1.2499446115144002
85,10.915151515151516,103.77025767167888,1.2547094760526956
85,11.166666666666666,111.11028108471908,1.2648019543252982
85,11.418181818181818,118.78851469446462,1.2770982436269767
85,11.66969696969697,126.81257626111268,1.2868419313956811
85,11.921212121212122,135.19008354486039,1.2969214028199803
85,12.172727272727274,143.92865430590487,1.3007656397081861
85,12.424242424242424,153.03590630444327,1.3122236890121455
85,12.675757575757576,162.51945730067285,1.3200395786621084
85,12.927272727272728,172.38692505479074,1.3250233063031376
85,13.17878787878788,182.64592732699407,1.3366231828467265
85,13.43030303030303,193.30408187747997,1.3403768121974808
85,13.681818181818182,204.36900646644565,1.348506144670866
85,13.933333333333334,215.84831885408835,1.3600146931189843
85,14.184848484848485,227.7496368006051,1.3649334932537556
85,14.436363636363637,240.0805780661931,1.3660453696222916
85,14.687878787878788,252.84876041104945,1.3791171531991449
85,14.93939393939394,266.06180159537143,1.3799245140805578
85,15.190909090909091,279.72731937935623,1.3904194182500438
85,15.442424242424243,293.85293152320094,1.3942360441842039
85,15.693939393939393,308.4462557871026,1.3972430527684652
85,15.945454545454545,323.5149099312586,1.4050080016591489
85,16.1969696969697,339.06651171586606,1.4103806763427984
85,16.44848484848485,355.10867890112183,1.4158918762205837
85,16.700000000000003,371.6490292472236,1.4205936719149828
85,16.951515151515153,388.69518051436813,1.430516217253098
85,17.203030303030307,406.2547504627528,1.4298919443083842
85,17.454545454545457,424.3353568525744,1.4320973147778486
85,17.706060606060607,442.94461744403054,1.4407445767329676
85,17.95757575757576,462.09014999731835,1.4397035550188682
85,18.20909090909091,481.7795722726346,1.4490008093034985
85,18.460606060606064,502.0205020301769,1.449889478047219
85,18.712121212121215,522.820557030142,1.4522595775618596
85,18.963636363636365,544.1873550327274,1.463764764891221
85,19.21515151515152,566.1285137981301,1.4638797055189787
85,19.46666666666667,588.6516510865473,1.4673771849704322
85,19.71818181818182,611.7643846581759,1.4735436018605343
85,19.969696969696972,635.4743322732139,1.4747698010017178
85,20.221212121212123,659.7891116918574,1.4730096994179114
85,20.472727272727276,684.7163406743045,1.4826870720007965
85,20.724242424242426,710.2636369807516,1.4885562204790843
85,20.975757575757576,736.4386183713959,1.4878035381675818
85,21.22727272727273,763.2489026064353,1.4918194253490062
85,21.47878787878788,790.7021074460662,1.4960938168945428
85,21.730303030303034,818.8058506504864,1.4990499218269646
85,21.981818181818184,847.5677499798924,1.5044613891909937
85,22.233333333333334,876.9954231944816,1.507507207237534
85,22.484848484848488,907.0964880544517,1.5057522626262623
85,22.736363636363638,937.8785623199989,1.5125672392684786
85,22.987878787878792,969.3492637513215,1.5199717608075491
85,23.239393939393942,1001.5162101086154,1.5186873131313132
85,23.490909090909092,1034.3870191520782,1.5172613666410497
85,23.742424242424246,1067.969308641908,1.5290407721111778
85,23.993939393939396,1102.270696338301,1.5319257759309917
85,24.24545454545455,1137.2988000014545,1.535757541201486
85,24.4969696969697,1173.0612373915656,1.5362283938887755
85,24.74848484848485,1209.5656262688312,1.5381823038081224
85,25.0,1246.819584393449,1.5416389999999993
